#  CREATED =
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of a M2 Dwarf (Gleise 411) source model (Angst vs FLAM)
#  MAPKEY  = M2 Dwarf
#  FILE_TYP= M2 Dwarf (Gleise 411) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). The origin of the
#  HISOTRY  data is unknown; however, this file has been validated and found to
#  HISTORY  be representative of the spectra for a M2 Dwarf.
#
# wl/angst        synflam
#
      8796.31 9.4077100000E-15
       8799.9 9.2706100000E-15
       8803.5 9.3137800000E-15
      8807.09 9.3736800000E-15
      8810.68 9.4951100000E-15
      8814.28 9.5314700000E-15
      8817.87 9.4701700000E-15
      8821.46 9.4878700000E-15
      8825.06 9.5562500000E-15
      8828.65 9.6593100000E-15
      8832.24 9.6993400000E-15
      8835.84 9.7184800000E-15
      8839.43 9.7567400000E-15
      8843.02 9.8000700000E-15
      8846.62 9.8327300000E-15
      8850.21 9.7644700000E-15
       8853.8 9.6718600000E-15
       8857.4 9.6364800000E-15
      8860.99 9.5395200000E-15
      8864.58 9.5082100000E-15
      8868.18 9.4999300000E-15
      8871.77 9.5388700000E-15
      8875.36 9.5582600000E-15
      8878.96 9.5862500000E-15
      8882.55 9.6218100000E-15
      8886.14 9.6798500000E-15
      8889.74 9.6550100000E-15
      8893.33 9.6589100000E-15
      8896.92 9.6559100000E-15
      8900.52 9.6700500000E-15
      8904.11 9.6597300000E-15
       8907.7 9.6938400000E-15
       8911.3 9.6803800000E-15
      8914.89 9.6617800000E-15
      8918.48 9.7051300000E-15
      8922.08 9.7709700000E-15
      8925.67 9.7564800000E-15
      8929.26 9.7635500000E-15
      8932.86 9.7371100000E-15
      8936.45 9.6524900000E-15
      8940.04 9.6038200000E-15
      8943.64 9.5236600000E-15
      8947.23 9.4013100000E-15
      8950.83 9.3041700000E-15
      8954.42 9.2842900000E-15
      8958.01 9.1085200000E-15
      8961.61 8.9390800000E-15
       8965.2 8.8197900000E-15
      8968.79 8.8166700000E-15
      8972.39 8.7955000000E-15
      8975.98 8.8502300000E-15
      8979.57 8.7659500000E-15
      8983.17 8.5956600000E-15
      8986.76 8.4531200000E-15
      8990.35 8.3126700000E-15
      8993.95 8.2990000000E-15
      8997.54 8.4916900000E-15
      9001.13 8.5413800000E-15
      9004.73 8.5638500000E-15
      9008.32 8.6284100000E-15
      9011.91 8.7370000000E-15
      9015.51 8.7869800000E-15
       9019.1 8.6901000000E-15
      9022.69 8.7915500000E-15
      9026.29 8.9819100000E-15
      9029.88 9.1747500000E-15
      9033.47 9.3596600000E-15
      9037.07 9.5527300000E-15
      9040.66 9.6189700000E-15
      9044.25 9.6277200000E-15
      9047.85 9.5308700000E-15
      9051.44 9.5317800000E-15
      9055.03 9.4510100000E-15
      9058.63 9.3351900000E-15
      9062.22 9.2013000000E-15
      9065.81 9.1761900000E-15
      9069.41 8.9742200000E-15
        9073. 8.9047200000E-15
      9076.59 8.8242100000E-15
      9080.19 8.7707700000E-15
      9083.78 8.7992000000E-15
